timestamp_ms,qp_id,bytes,start_ns,last_ns,last_bps,below_ns_accum
1763637713461,1336,8709680,87312914546105,87312965066694,1022445501,0
1763637713461,1329,8868222,87312927690824,87312965073372,1896324669,0
1763637713461,1339,5718378,87312893657520,87312965145482,886538259,0
1763637713461,1337,3834780,87312936899748,87312963094217,977696928,0
1763637713461,1335,18939318,87312925553359,87312965145687,3798752794,0
1763637713461,1330,11540334,87312884160366,87312965142692,995323692,0
1763637713461,1333,2746078,87312945815817,87312965192482,1042291696,0
1763637713461,1340,1811690,87312948127114,87312963906836,950446198,0
1763637713461,1328,9261426,87312899382309,87312965244585,1027591897,0
1763637713461,1341,9261426,87312926352704,87312965275889,1896807692,0
1763637713461,1342,34904262,87312923539638,87312965090310,6690797340,0
1763637713461,1332,7261598,87312923241109,87312965347203,1094555984,0
1763637713461,1331,4185704,87312931803665,87312965257651,959062443,0
1763637713461,1327,5506962,87312895602668,87312965415675,828793718,0
1763637713461,1338,10407182,87312889769011,87312965448543,1238376245,0
1763637713562,1334,6513226,87313005184592,87313065613619,1108504543,0
1763637713562,1336,6382158,87313014610766,87313065704959,1142984806,0
1763637713562,1329,9111340,87313027752934,87313065730777,1906730727,0
1763637713562,1339,8766750,87312993688541,87313065493913,767456483,0
1763637713562,1337,2173192,87313037972588,87313065806237,1013495283,0
1763637713562,1335,19277558,87313025571080,87313065785082,3816181040,0
1763637713562,1330,11643912,87312984311756,87313065812406,1095019825,0
1763637713562,1333,2949022,87313047041585,87313064619647,1101470415,0
1763637713562,1340,2729166,87313048302974,87313065745896,946070746,0
1763637713562,1328,11772858,87313000048065,87313065813367,1057280865,0
1763637713562,1341,9595438,87313026384451,87313065893077,1904473922,0
1763637713562,1342,35151592,87313023540019,87313065701610,6690833523,0
1763637713562,1332,5373772,87313023268381,87313065952806,1161355000,0
1763637713562,1331,2999758,87313033223074,87313067641666,925178543,0
1763637713562,1327,8859782,87312995695923,87313067628072,737030307,0
1763637713562,1338,5813500,87312989828664,87313066916949,1213711471,0
1763637713667,1334,8957010,87313105997846,87313170292105,1015748256,0
1763637713667,1336,3399296,87313114675181,87313168785328,1070498088,0
1763637713667,1329,10413564,87313127792689,87313171118736,1910965229,0
1763637713667,1339,12201992,87313094093619,87313170296550,855775203,0
1763637713667,1337,4731132,87313138015304,87313171193890,832840827,0
1763637713667,1335,21882006,87313125621004,87313171230338,3826982772,0
